epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3908.83,0.66962,0.36114,0.85152,0.99561,0.99864,0.99448,0.83245,0.66229,0.31673,0.86048,0.00040505,0.00040505,0.00040505
58,3979.11,0.65921,0.35376,0.85011,0.99722,0.99868,0.99468,0.82431,0.67729,0.31972,0.86479,0.000396051,0.000396051,0.000396051
59,4042.83,0.64689,0.34863,0.84727,0.99664,0.99882,0.99466,0.82975,0.68191,0.31557,0.86723,0.000387052,0.000387052,0.000387052
60,4104.38,0.65259,0.35055,0.84974,0.99658,0.99778,0.9947,0.82806,0.68085,0.31731,0.86467,0.000378053,0.000378053,0.000378053
61,4169.31,0.6506,0.34805,0.85107,0.99831,0.99846,0.99472,0.83198,0.6705,0.31548,0.86308,0.000369054,0.000369054,0.000369054
62,4237.2,0.64743,0.34761,0.84829,0.9978,0.99855,0.99468,0.83362,0.66188,0.31211,0.86243,0.000360055,0.000360055,0.000360055
63,4306.44,0.64462,0.34701,0.84664,0.99837,0.99849,0.99451,0.82905,0.67298,0.31351,0.86545,0.000351056,0.000351056,0.000351056
64,4375.42,0.64302,0.34473,0.84882,0.99726,0.99815,0.99439,0.82938,0.6735,0.31375,0.86389,0.000342057,0.000342057,0.000342057
65,4446.18,0.64049,0.34455,0.84766,0.99718,0.99866,0.99472,0.8349,0.66218,0.30762,0.8617,0.000333058,0.000333058,0.000333058
66,4513.8,0.64023,0.34352,0.84786,0.99791,0.99865,0.99463,0.83964,0.65712,0.30465,0.86042,0.000324058,0.000324058,0.000324058
67,4582.98,0.64097,0.342,0.84813,0.99695,0.99869,0.99461,0.83656,0.66299,0.30497,0.86234,0.000315059,0.000315059,0.000315059
68,4653.37,0.63739,0.34074,0.84582,0.99777,0.9987,0.99458,0.83803,0.65853,0.30523,0.86294,0.00030606,0.00030606,0.00030606
69,4720.9,0.62784,0.33813,0.84498,0.99769,0.99825,0.99464,0.83915,0.65458,0.30333,0.85914,0.000297061,0.000297061,0.000297061
70,4782.91,0.6333,0.33842,0.84519,0.99716,0.99872,0.99462,0.83868,0.66253,0.3072,0.86007,0.000288062,0.000288062,0.000288062
71,4849.43,0.63385,0.3368,0.84699,0.998,0.99824,0.99466,0.83704,0.67026,0.30448,0.86407,0.000279063,0.000279063,0.000279063
72,4921.14,0.63178,0.33808,0.84368,0.99648,0.99857,0.99475,0.84129,0.64895,0.30212,0.8579,0.000270064,0.000270064,0.000270064
73,4983.45,0.62733,0.33468,0.8449,0.99727,0.99804,0.99468,0.84074,0.65352,0.30232,0.85842,0.000261065,0.000261065,0.000261065
74,5047.49,0.61841,0.33217,0.84416,0.99786,0.998,0.99463,0.84485,0.64409,0.29693,0.85657,0.000252066,0.000252066,0.000252066
75,5111.68,0.62963,0.33505,0.8442,0.99776,0.99884,0.9944,0.83926,0.65903,0.3018,0.85874,0.000243067,0.000243067,0.000243067
76,5178.86,0.62252,0.33126,0.84144,0.99783,0.99883,0.99462,0.84002,0.65273,0.29948,0.85995,0.000234068,0.000234068,0.000234068
77,5244.38,0.6199,0.33309,0.8424,0.99791,0.99846,0.99458,0.84439,0.64568,0.29788,0.8584,0.000225068,0.000225068,0.000225068
78,5311.89,0.61837,0.32927,0.84313,0.99785,0.99806,0.99441,0.84079,0.65461,0.2988,0.86123,0.000216069,0.000216069,0.000216069
79,5373.33,0.61739,0.33005,0.84221,0.99586,0.99863,0.99457,0.84305,0.64395,0.29703,0.85724,0.00020707,0.00020707,0.00020707
80,5440.88,0.6143,0.32995,0.8401,0.9979,0.99862,0.99456,0.83908,0.64857,0.29655,0.85889,0.000198071,0.000198071,0.000198071
81,5508.72,0.60848,0.32489,0.84044,0.99797,0.99818,0.99456,0.84599,0.64307,0.29343,0.85701,0.000189072,0.000189072,0.000189072
82,5572.58,0.61026,0.32635,0.83747,0.99829,0.99753,0.99456,0.84841,0.63608,0.29112,0.85558,0.000180073,0.000180073,0.000180073
83,5635.13,0.60204,0.3207,0.83929,0.99804,0.99852,0.99466,0.84724,0.63873,0.29221,0.85543,0.000171074,0.000171074,0.000171074
84,5700.87,0.60423,0.32437,0.83786,0.99824,0.99842,0.99462,0.84367,0.64215,0.29453,0.85706,0.000162075,0.000162075,0.000162075
85,5767.22,0.6018,0.32049,0.83848,0.99682,0.9984,0.99458,0.84418,0.64682,0.29209,0.85728,0.000153076,0.000153076,0.000153076
86,5836.4,0.6035,0.3215,0.83824,0.99762,0.99839,0.99464,0.84463,0.64218,0.29274,0.85601,0.000144077,0.000144077,0.000144077
87,5900.61,0.60251,0.32272,0.83629,0.99785,0.99826,0.99466,0.84973,0.63715,0.28945,0.85462,0.000135077,0.000135077,0.000135077
88,5970.57,0.59803,0.31735,0.83921,0.99722,0.99814,0.99469,0.84572,0.64425,0.29056,0.85588,0.000126078,0.000126078,0.000126078
89,6033.32,0.59198,0.31596,0.8342,0.99779,0.99811,0.99472,0.84514,0.64484,0.29108,0.85708,0.000117079,0.000117079,0.000117079
90,6100.89,0.59808,0.31926,0.83778,0.99718,0.99788,0.99472,0.84765,0.6393,0.28931,0.85575,0.00010808,0.00010808,0.00010808
91,6179.95,0.56788,0.30555,0.83245,0.99742,0.99753,0.99451,0.84678,0.64305,0.29288,0.85648,9.9081e-05,9.9081e-05,9.9081e-05
92,6251.81,0.56096,0.29723,0.82802,0.9975,0.99745,0.99451,0.84568,0.63905,0.29158,0.85614,9.00819e-05,9.00819e-05,9.00819e-05
93,6324.63,0.55172,0.29249,0.82756,0.99761,0.99848,0.99465,0.8467,0.64112,0.29185,0.85623,8.10828e-05,8.10828e-05,8.10828e-05
94,6394.38,0.55211,0.29316,0.82871,0.99736,0.99852,0.99469,0.84455,0.63964,0.29025,0.8568,7.20837e-05,7.20837e-05,7.20837e-05
95,6466.12,0.54591,0.28832,0.82886,0.99742,0.99857,0.99456,0.84801,0.63674,0.2869,0.85579,6.30846e-05,6.30846e-05,6.30846e-05
96,6537.23,0.54095,0.28747,0.82622,0.99694,0.99884,0.99461,0.84825,0.63375,0.2863,0.85555,5.40855e-05,5.40855e-05,5.40855e-05
97,6604.82,0.5395,0.28534,0.82614,0.99829,0.99836,0.9946,0.84848,0.63297,0.28506,0.85479,4.50864e-05,4.50864e-05,4.50864e-05
98,6675.14,0.53804,0.28472,0.82714,0.99805,0.99776,0.99459,0.84912,0.63658,0.28544,0.8554,3.60873e-05,3.60873e-05,3.60873e-05
99,6744.98,0.53561,0.28437,0.82709,0.99795,0.9978,0.99459,0.85077,0.63399,0.28448,0.85516,2.70882e-05,2.70882e-05,2.70882e-05
100,6815.03,0.52992,0.28129,0.8229,0.998,0.99783,0.99458,0.85047,0.63114,0.2835,0.85457,1.80891e-05,1.80891e-05,1.80891e-05
